character,group
Albus Dumbledore,Phoenix
Albus Dumbledore,Prefect
Albus Dumbledore,Gryffindor
Remus Lupin,Phoenix
Remus Lupin,Prefect
Remus Lupin,Gryffindor
Molly Weasley,Phoenix
Molly Weasley,Gryffindor
Siruis Black,Phoenix
Siruis Black,Gryffindor
Severus Snape,Phoenix
Severus Snape,Death.Eaters
Severus Snape,Slytherin
Alastor Moody,Phoenix
Alastor Moody,Hufflepuff
Minerva McGonagall,Phoenix
Minerva McGonagall,Prefect
Minerva McGonagall,Gryffindor
Rubeus Hagrid,Phoenix
Rubeus Hagrid,Gryffindor
Kingsley Shacklebolt,Phoenix
Kingsley Shacklebolt,Gryffindor
Nymphadora Tonks,Phoenix
Nymphadora Tonks,Hufflepuff
Mundungus Fletcher,Phoenix
Dedalus Diggle,Phoenix
Elphias Dode,Phoenix
Elphias Dode,Gryffindor
Aberforth Dumbledore,Phoenix
Aberforth Dumbledore,Gryffindor
Arabella Figg,Phoenix
Emmeline Vance,Phoenix
Emmeline Vance,Ravenclaw
Sturgis Podmore,Phoenix
Hestia Jones,Phoenix
Hestia Jones,Gryffindor
Aurthur Weasley,Phoenix
Aurthur Weasley,Gryffindor
Bill Weasley,Phoenix
Bill Weasley,Prefect
Bill Weasley,Gryffindor
Charlie Weasley,Phoenix
Charlie Weasley,Prefect
Charlie Weasley,Gryffindor
Hermione Granger,Phoenix
Hermione Granger,Dumbeldore.s.Army
Hermione Granger,Prefect
Hermione Granger,Gryffindor
Harry Potter,Phoenix
Harry Potter,Dumbeldore.s.Army
Harry Potter,Gryffindor
Cho Chang,Dumbeldore.s.Army
Cho Chang,Ravenclaw
Ron Weasley,Phoenix
Ron Weasley,Dumbeldore.s.Army
Ron Weasley,Prefect
Ron Weasley,Gryffindor
Lavendar Brown,Dumbeldore.s.Army
Lavendar Brown,Gryffindor
George Weasley,Phoenix
George Weasley,Dumbeldore.s.Army
George Weasley,Gryffindor
Fred Weasley,Phoenix
Fred Weasley,Dumbeldore.s.Army
Fred Weasley,Gryffindor
Neville Longbottom,Dumbeldore.s.Army
Neville Longbottom,Gryffindor
Colin Creevey,Dumbeldore.s.Army
Colin Creevey,Gryffindor
Luna Lovegood,Dumbeldore.s.Army
Luna Lovegood,Ravenclaw
Dean Thomas,Dumbeldore.s.Army
Dean Thomas,Gryffindor
Katie Bell,Dumbeldore.s.Army
Katie Bell,Gryffindor
Angelina Johnson,Dumbeldore.s.Army
Angelina Johnson,Gryffindor
Hannah Abbott,Dumbeldore.s.Army
Hannah Abbott,Prefect
Hannah Abbott,Hufflepuff
Lee Jordon,Dumbeldore.s.Army
Lee Jordon,Gryffindor
Anthony Goldstein,Dumbeldore.s.Army
Anthony Goldstein,Prefect
Ernie Macmilan,Dumbeldore.s.Army
Ernie Macmilan,Prefect
Justin Finch-Fletchley,Dumbeldore.s.Army
Justin Finch-Fletchley,Hufflepuff
Padma Patil,Dumbeldore.s.Army
Padma Patil,Prefect
Padma Patil,Ravenclaw
Seamus Finnigan,Dumbeldore.s.Army
Seamus Finnigan,Gryffindor
Susan Bones,Dumbeldore.s.Army
Susan Bones,Hufflepuff
Marietta Edgecombe,Dumbeldore.s.Army
Marietta Edgecombe,Ravenclaw
Alicia Spinnet,Dumbeldore.s.Army
Alicia Spinnet,Gryffindor
Dennis Creevey,Dumbeldore.s.Army
Dennis Creevey,Gryffindor
Ginny Weasley,Dumbeldore.s.Army
Ginny Weasley,Gryffindor
Parvati Patil,Dumbeldore.s.Army
Parvati Patil,Gryffindor
Nigel Wolpert,Dumbeldore.s.Army
Nigel Wolpert,Gryffindor
Cormac McLaggen,Dumbeldore.s.Army
Cormac McLaggen,Gryffindor
Romilda Vane,Dumbeldore.s.Army
Romilda Vane,Gryffindor
Michael Corner,Dumbeldore.s.Army
Michael Corner,Ravenclaw
Terry Boot,Dumbeldore.s.Army
Terry Boot,Ravenclaw
Maisy Reynolds,Dumbeldore.s.Army
Maisy Reynolds,Ravenclaw
Leanne,Dumbeldore.s.Army
Leanne,Hufflepuff
Zacharias Smith,Dumbeldore.s.Army
Zacharias Smith,Hufflepuff
Luca Caruso,Dumbeldore.s.Army
Alice Toplin,Dumbeldore.s.Army
James Potter,Phoenix
James Potter,Gryffindor
Lilly Potter,Phoenix
Lilly Potter,Gryffindor
Peter Petigrew,Phoenix
Peter Petigrew,Death.Eaters
Peter Petigrew,Gryffindor
Fabian Prewett,Phoenix
Fabian Prewett,Gryffindor
Gideon Prewett,Phoenix
Gideon Prewett,Gryffindor
Frank Longbottom,Phoenix
Frank Longbottom,Gryffindor
Alice Longbottom,Phoenix
Alice Longbottom,Gryffindor
Edgar Bones,Phoenix
Edgar Bones,Ravenclaw
Benjy Fenwick,Phoenix
Benjy Fenwick,Gryffindor
Caradoc Dearborn,Phoenix
Dorcas Meadowes,Phoenix
Dorcas Meadowes,Gryffindor
Marlene McKinnon,Phoenix
Marlene McKinnon,Gryffindor
Fleur Delacour,Phoenix
Bellatrix Lestrange,Death.Eaters
Bellatrix Lestrange,Slytherin
Lucius Malfoy,Death.Eaters
Lucius Malfoy,Prefect
Lucius Malfoy,Slytherin
Igor Karkaroff,Death.Eaters
Regulus Black,Death.Eaters
Regulus Black,Slytherin
Barty Crouch Jr,Death.Eaters
Barty Crouch Jr,Ravenclaw
Antonin Dolohov,Death.Eaters
Thorfinn Rowle,Death.Eaters
Augustus Rookwood,Death.Eaters
Augustus Rookwood,Slytherin
Evan Rosier,Death.Eaters
Evan Rosier,Slytherin
Walden Macnair,Death.Eaters
Walden Macnair,Slytherin
Alecto Carrow,Death.Eaters
Alecto Carrow,Slytherin
Amycus Carrow,Death.Eaters
Amycus Carrow,Slytherin
Avery Jnr,Death.Eaters
Avery Jnr,Slytherin
Corban Yaxley,Death.Eaters
Corban Yaxley,Slytherin
Crabbe Snr,Death.Eaters
Crabbe Snr,Slytherin
Draco Malfoy,Death.Eaters
Draco Malfoy,Inquisitorial.Squad
Draco Malfoy,Prefect
Draco Malfoy,Slytherin
Gibbon,Death.Eaters
Gibbon,Slytherin
Goyle Snr,Death.Eaters
Goyle Snr,Slytherin
Jugson,Death.Eaters
Mulciber Snr,Death.Eaters
Mulciber Snr,Slytherin
Mulciber Jnr,Death.Eaters
Mulciber Jnr,Slytherin
Nott Snr,Death.Eaters
Nott Snr,Slytherin
Rabastan Lestrange,Death.Eaters
Rabastan Lestrange,Slytherin
Rodolphus Lestrange,Death.Eaters
Rodolphus Lestrange,Slytherin
Tavers,Death.Eaters
Tavers,Slytherin
Pansy Parkinson,Inquisitorial.Squad
Pansy Parkinson,Prefect
Pansy Parkinson,Slytherin
Millicent Bulstrode,Inquisitorial.Squad
Millicent Bulstrode,Slytherin
Vincent Crabbe,Inquisitorial.Squad
Vincent Crabbe,Slytherin
Gregory Goyle,Inquisitorial.Squad
Gregory Goyle,Slytherin
Graham Montague,Inquisitorial.Squad
Graham Montague,Slytherin
Cassius Warrington,Inquisitorial.Squad
Cassius Warrington,Slytherin
Argus Filch,Inquisitorial.Squad
Dolores Umbridge,Inquisitorial.Squad
Dolores Umbridge,Slytherin
Jane Court,Prefect
Jane Court,Hufflepuff
Gabriel Truman,Prefect
Gabriel Truman,Hufflepuff
Cedric Diggory,Prefect
Cedric Diggory,Hufflepuff
Constance Pickering,Prefect
Constance Pickering,Hufflepuff
Natalie Kathryn,Prefect
Natalie Kathryn,Hufflepuff
Tom Riddle,Death.Eaters
Tom Riddle,Prefect
Tom Riddle,Slytherin
Felix Rosier,Prefect
Felix Rosier,Slytherin
Gemma Farley,Prefect
Gemma Farley,Slytherin
Penelope Padgett,Prefect
Penelope Padgett,Slytherin
Rodrick Lyme,Prefect
Rodrick Lyme,Slytherin
Annalena Murk,Prefect
Annalena Murk,Gryffindor
Angelica Cole,Prefect
Angelica Cole,Gryffindor
Percy Weasley,Prefect
Percy Weasley,Gryffindor
Freddie Clemmons,Prefect
Freddie Clemmons,Gryffindor
Dani Caroll,Prefect
Dani Caroll,Ravenclaw
Marcus Turner,Prefect
Marcus Turner,Ravenclaw
Penelope Clearwater,Prefect
Penelope Clearwater,Ravenclaw
Robert Hillard,Prefect
Robert Hillard,Ravenclaw
Chester Davies,Prefect
Chester Davies,Ravenclaw
